Datetime,Actual,Prediction,Error,Percent Error
2024-12-31 00:00:00,1477.3493339,1551.982238,-74.63290410000013,-5.051811537558249
2024-12-31 01:00:00,1413.3211113,1551.982238,-138.66112670000007,-9.81101361830341
2024-12-31 02:00:00,1391.7664066,1551.982238,-160.21583140000007,-11.511689795085479
2024-12-31 03:00:00,1380.6878692,1551.982238,-171.29436880000003,-12.40645135089451
2024-12-31 04:00:00,1385.6812507,1551.982238,-166.3009873000001,-12.001388285797356
2024-12-31 05:00:00,1431.887742,1551.982238,-120.09449600000016,-8.387144639722752
2024-12-31 06:00:00,1503.38633,1551.982238,-48.59590800000001,-3.2324298172912087
2024-12-31 07:00:00,1622.1037517,1551.982238,70.12151369999992,4.3228747622654256
2024-12-31 08:00:00,1706.7674899,1551.982238,154.78525190000005,9.068912597407685
2024-12-31 09:00:00,1744.4473579,1551.982238,192.4651199,11.033013924346406
2024-12-31 10:00:00,1774.1934864,1551.982238,222.21124839999993,12.524634438315225
2024-12-31 11:00:00,1812.2416213,1551.982238,260.25938329999985,14.361185630054365
2024-12-31 12:00:00,1797.5814038,1551.982238,245.59916580000004,13.662756261319531
2024-12-31 13:00:00,1795.3156015,1551.982238,243.3333634999999,13.553793176903994
2024-12-31 14:00:00,1767.6210989,1551.982238,215.63886090000005,12.19938260717714
2024-12-31 15:00:00,1772.0348013,1551.982238,220.05256329999997,12.418072327843959
2024-12-31 16:00:00,1832.2169071,1551.982238,280.2346691,15.29484134842694
2024-12-31 17:00:00,1859.0578611,1551.982238,307.07562310000003,16.517808806569587
2024-12-31 18:00:00,1791.3608995,1551.982238,239.3786614999999,13.362950010063003
2024-12-31 19:00:00,1710.622983,1551.982238,158.64074499999992,9.273857920567874
2024-12-31 20:00:00,1666.3407337,1551.982238,114.35849570000005,6.862851839795965
2024-12-31 21:00:00,1622.8339992,1551.982238,70.85176120000006,4.365927829644158
2024-12-31 22:00:00,1564.2494169,1551.982238,12.267178899999863,0.7842214142748877
2024-12-31 23:00:00,1508.1778991,1551.982238,-43.80433889999995,-2.9044543701469197
